Input_ADR,True_ADR,Predicted_ADR,Top5_Predictions,Error_Type
acid refluxtype symptoms,acid reflux-type symptoms,severe acid reflux,"['acid reflux' 'Acid Reflux' 'acid reflux' 'acid reflux'
 'severe acid reflux']",Semantic confusion
tendon weakness,tendon weakness,tendon ruptures,"['Achilles Tendonsitis' 'achilles tendon tightness' 'tendon contracture'
 'tendon pain' 'tendon ruptures']",Semantic confusion
frontal lobe abnormalities,Frontal Lobe abnormalities,neurological problems,"['nervous system problems' 'visual deficits' 'neurophaty'
 'Temporal Lobe epilepsy' 'neurological problems']",Semantic confusion
loss of energy,loss of energy,Loss of energy,"['lack of energy' 'Decreased energy' 'ENERGY LOSS' 'loss of energy'
 'Loss of energy']",Lexical variation
soreness of muscles,soreness of muscles,soreness in muscles,"['sore muscles' 'muscle soreness' 'muscle soreness' 'MUSCLE SORENESS'
 'soreness in muscles']",Semantic confusion
swollen,swollen,swelling,['swelling' 'swelling' 'SWELLING' 'swelling' 'swelling'],Semantic confusion
muscle cramping,Muscle cramping,muscles cramp,"['muscle cramps' 'muscle cramps' 'severe muscle cramping'
 'Severe muscle cramping' 'muscles cramp']",Semantic confusion
hands hurt,hands hurt,Pain in hands,"['fingers hurt' 'pains in hands' 'hand pain' 'pain in hands'
 'Pain in hands']",Semantic confusion
shoulders are inflammed,shoulders are inflammed,tightness in shoulders,"['pain in shoulders' 'pain in shoulders' 'pain in shoulders'
 'Pain in the shoulders' 'tightness in shoulders']",Semantic confusion
neck swollen,neck swollen,very sore neck,['pain in neck' 'neck hurt' 'sore neck' 'sore neck' 'very sore neck'],Semantic confusion
problems with tinnitus,problems with tinnitus,tinnitus,['tinnitus' 'Tinnitus' 'tinnitus' 'Tinnitus' 'tinnitus'],Semantic confusion
general weakness in my feet,General weakness in my feet,General weakness in my hands,"['weakness in legs' 'weakness in legs' 'weakness in my legs'
 'weakness in my legs' 'General weakness in my hands']",Semantic confusion
hands very weak,Hands very weak,weak in my arms and hands,"['General weakness in my hands' 'arms weak'
 'hand weakness (constantly dropping things)' 'general weakness in hands'
 'weak in my arms and hands']",Semantic confusion
left shoulder is almost immobile,left shoulder is almost immobile,"severe pain in left shoulder,","['severe intense left arm and shoulder pain' 'Extreme Right Shoulder Pain'
 'Major stiffness in shoulder' 'left shoulder aches'
 'severe pain in left shoulder,']",Semantic confusion
my stomach felt empty and hollow,my stomach felt empty and hollow,"""empty stomach"" feeling","['Abdominal distention - feel full' 'stomach emptiness and pain'
 'feeling like my stomach is full and empty at the same time'
 'empty stomach feeling' '""empty stomach"" feeling']",Semantic confusion
tintinitus,tintinitus,tinninitus,['tinnitus' 'tinititis' 'tinnitis' 'tinnitis' 'tinninitus'],Semantic confusion
vertigo,VERTIGO,vertigo,['vertigo' 'vertigo' 'vertigo' 'vertigo' 'vertigo'],Semantic confusion
needed help getting out of bed and off a chair,needed help getting out of bed and off a chair,Difficulty getting up out of a chair,"['hurts to get out of a chair' ""can't get out of bed""
 'unable to get out of bed' 'unable to get out of chairs without help'
 'Difficulty getting up out of a chair']",Semantic confusion
pain in the pit of my stomach,pain in the pit of my stomach,pain in my stomach,"['stomach pain' 'stomach pain' 'pain in stomach' 'pain in my stomach'
 'pain in my stomach']",Semantic confusion
could barely move,Could barely move,could hardly move,"['could hardly walk' 'could hardly walk' 'could hardly walk'
 'could barely walk' 'could hardly move']",Semantic confusion
itching of the skin,itching of the skin,skin itchiness,['itching' 'itching' 'itching' 'itching' 'skin itchiness'],Semantic confusion
cluster headaches,cluster headaches,frequent headaches,['headache' 'headache' 'headache' 'headache' 'frequent headaches'],Semantic confusion
memory,memory,Memory,"['memory problem' 'MEMORY TROUBLE' 'poor memory' 'memory confusion'
 'Memory']",Semantic confusion
feel bad,feel bad,feel sick,"['Felt generally terrible' 'feel dreadful' 'ill feeling' 'feeling stupid'
 'feel sick']",Semantic confusion
i feel like im in a fog,I feel like I'm in a fog,feel like I am in a fog,"['like Im in a fog all the time' 'feeling of being in a fog'
 'feeling in a fog' 'feel like I am in a fog' 'feel like I am in a fog']",Semantic confusion
heavy legs,heavy legs,heavy legs and arms,['Weak legs' 'weak legs' 'weak legs' 'weak legs' 'heavy legs and arms'],Semantic confusion
dizziness,dizziness,Dizziness,['dizziness' 'Dizziness' 'dizziness' 'Dizziness' 'dizziness'],Lexical variation
dizziness,dizziness,Dizziness,['dizziness' 'Dizziness' 'dizziness' 'Dizziness' 'dizziness'],Lexical variation
less patience,less patience,impatient,['lack of control' 'urgency' 'diziness' 'diziness' 'impatient'],Semantic confusion
muscle aches in calves,Muscle aches in calves,muscle aches in calves,"['Severe pain in my calf muscles' 'pain in calf muscle'
 'Severe muscle pain in calves' 'Very painful muscle aches in calves'
 'muscle aches in calves']",Semantic confusion
stomach gas and intense pain,stomach gas and intense pain,gas pains in abdomen,"['stomach pain' 'stomach pain' 'gas pains around my abdomen'
 'gastric pain' 'gas pains in abdomen']",Semantic confusion
dizziness,dizziness,Dizziness,['dizziness' 'Dizziness' 'dizziness' 'Dizziness' 'dizziness'],Lexical variation
muscle pain in hips,muscle pain in hips,severe muscle pain in hips,"['pains in hips' 'pain in hips' 'pain in hips' 'MUSCLE PAIN IN HIP'
 'severe muscle pain in hips']",Semantic confusion
pain in my hipjoints,pain in my hipjoints,pain around the hipjoints,"['hip pain' 'hip pain' 'pain in hip' 'Pain in hip'
 'pain around the hipjoints']",Semantic confusion
neck muscle pain,neck muscle pain,neck muscle pain in the,"['neck pain' 'neck pain' 'severe muscle pain in neck'
 'MUSCLE PAIN IN NECK' 'neck muscle pain in the']",Semantic confusion
arrhythmia,arrhythmia,tachycardia,"['irrecular heartbeat' 'rapid heart beat' 'irregullar heartbeat'
 'fast and slow heartbeat' 'tachycardia']",Semantic confusion
muscle weakness in plantar muscle,muscle weakness in plantar muscle,muscle weakness,"['muscle weakness' 'muscle weakness' 'muscle weakness' 'muscle weakness'
 'muscle weakness']",Semantic confusion
shoulder pain was unbearable,shoulder pain was unbearable,severe shoulder pain,"['shoulder pain' 'shoulder pain' 'Severe pain shoulder'
 'severe pain in shoulder' 'severe shoulder pain']",Semantic confusion
crave sweets,crave sweets,food cravings,"['high sugar attack' 'sugar started to go up' 'hunger feeling'
 'hungry feeling' 'food cravings']",Semantic confusion
pain in my lower legs and feet,pain in my lower legs and feet,Pain in my lower legs,"['pain in my lower leg' 'pain in my lower leg' 'Pain in lower legs'
 'pain in feet and legs' 'Pain in my lower legs']",Semantic confusion
mild aches,mild aches,aches and pains,"['Aches and pains' 'aches and pains' 'aches and pains' 'aches and pains'
 'aches and pains']",Semantic confusion
want to give up,want to give up,wanting to quit everything and give up,"['lost all interest in everything'
 'loss of desire to do or accomplish anything' 'no motivation'
 'not motivated to do anything' 'wanting to quit everything and give up']",Semantic confusion
charley horses in legs,charley horses in legs,charley horses in feet,"['Charley horses in the abdomen' 'charley horses'
 'charley horses in sides' 'charley horses in feet'
 'charley horses in feet']",Semantic confusion
stiffness in leg joint,Stiffness in Leg Joint,stiffness in legs,"['joint stiffness' 'joint stiffness' 'Joint Stiffness' 'stiffness in legs'
 'Stiffness in legs']",Semantic confusion
